Country Name,Country Code,Indicator Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
United Kingdom,GBR,Net migration,161157.0,186701.0,210510.0,230387.0,247447.0,261300.0,272651.0,279808.0,283762.0,284800.0,281588.0,277521.0,272601.0,268067.0,261389.0,254218.0,246940.0,239014.0,230577.0,221179.0,211063.0,202027.0
Georgia,GEO,Net migration,-135044.0,-110972.0,-58530.0,-31080.0,-30611.0,-31214.0,-31733.0,-32140.0,-32462.0,-32758.0,-24663.0,-25975.0,-26510.0,-27185.0,-16045.0,-13317.0,-10591.0,-7886.0,-5174.0,-5414.0,-2734.0,-2734.0
Ghana,GHA,Net migration,-4208.0,36057.0,40580.0,28764.0,34434.0,21273.0,28539.0,32815.0,30509.0,22415.0,-3724.0,-733.0,1008.0,-2388.0,-6316.0,-13308.0,7014.0,-4914.0,-19374.0,-21860.0,-297.0,-11253.0
Gibraltar,GIB,Net migration,-147.0,-215.0,312.0,318.0,319.0,328.0,323.0,333.0,300.0,299.0,325.0,270.0,298.0,-101.0,-101.0,-101.0,-101.0,-58.0,-58.0,-58.0,-58.0,-58.0
Guinea,GIN,Net migration,-77558.0,-155276.0,-33495.0,-36982.0,-56110.0,-71104.0,-48145.0,-34349.0,-32957.0,-34050.0,-31352.0,-29092.0,-32842.0,-29151.0,-22750.0,-15127.0,-14196.0,-13726.0,-9195.0,-3243.0,-4364.0,-4367.0
"Gambia, The",GMB,Net migration,-3676.0,-3876.0,-4068.0,-3717.0,-3632.0,-3204.0,-2667.0,-2325.0,-2203.0,-2267.0,-2464.0,-2363.0,-2342.0,-2486.0,-2797.0,-3224.0,-3477.0,-3694.0,-3936.0,-4186.0,-1960.0,-1960.0
Guinea-Bissau,GNB,Net migration,-6971.0,-6239.0,-5712.0,-5487.0,-5144.0,-4662.0,-4142.0,-3676.0,-3313.0,-2821.0,-2257.0,-1760.0,-1442.0,-1395.0,-1393.0,-1393.0,-1392.0,-1398.0,-1396.0,-1395.0,-1394.0,-1395.0
Equatorial Guinea,GNQ,Net migration,15352.0,15084.0,14757.0,14544.0,14733.0,15549.0,16885.0,18437.0,19930.0,21233.0,22033.0,17606.0,17859.0,18105.0,18051.0,17694.0,17109.0,16395.0,15583.0,14695.0,0.0,6486.0
Greece,GRC,Net migration,35798.0,24607.0,15717.0,7095.0,-1102.0,-7559.0,-13700.0,-18697.0,-21969.0,-23831.0,-25002.0,-26257.0,-30036.0,-31535.0,-30228.0,-29315.0,-27234.0,-25061.0,-23600.0,-21581.0,-17853.0,-14806.0
Grenada,GRD,Net migration,-586.0,-736.0,-924.0,-245.0,-306.0,-369.0,-417.0,-447.0,-455.0,-459.0,-453.0,-292.0,-204.0,-190.0,-190.0,-190.0,-190.0,-190.0,-190.0,-190.0,0.0,-85.0
Greenland,GRL,Net migration,-264.0,-308.0,-342.0,-337.0,-349.0,-505.0,-514.0,-534.0,-563.0,-573.0,-443.0,-450.0,-457.0,-490.0,-529.0,-348.0,-374.0,-383.0,-357.0,-338.0,-150.0,-62.0
Guatemala,GTM,Net migration,-66153.0,-59249.0,-55245.0,-54666.0,-47399.0,-49600.0,-42071.0,-40617.0,-42607.0,-43051.0,-36072.0,-33204.0,-32572.0,-35666.0,-40409.0,-48162.0,-39266.0,-48049.0,-56884.0,-58095.0,-23142.0,-29118.0
Guam,GUM,Net migration,-1566.0,-1898.0,-1754.0,-2044.0,-2368.0,-2333.0,-2669.0,-2874.0,-2933.0,-2933.0,-1850.0,-1852.0,-1850.0,-1852.0,-1852.0,-1852.0,-1852.0,-1852.0,-1850.0,-1852.0,-244.0,-244.0
Guyana,GUY,Net migration,-13176.0,-13060.0,-12758.0,-12523.0,-12657.0,-13000.0,-13328.0,-13629.0,-13886.0,-14130.0,-14327.0,-14512.0,-7152.0,-6912.0,-6715.0,-6524.0,-6311.0,-6110.0,30080.0,-24678.0,802.0,-4316.0
High income,HIC,Net migration,3047826.0,2759279.0,3364304.0,3459552.0,3586926.0,4292737.0,5034198.0,5838720.0,5453499.0,4595324.0,3524015.0,3967135.0,3968087.0,3735605.0,3428629.0,3939060.0,3981138.0,4299926.0,4325471.0,4108433.0,788994.0,2128855.0
"Hong Kong SAR, China",HKG,Net migration,60719.0,32287.0,21654.0,18790.0,10103.0,75.0,12583.0,31280.0,26820.0,20910.0,10584.0,25348.0,36188.0,24760.0,22372.0,13061.0,0.0,0.0,0.0,0.0,0.0,0.0
Honduras,HND,Net migration,-10762.0,-9749.0,-8815.0,-7986.0,-7082.0,-6187.0,-5451.0,-5039.0,-5039.0,-5196.0,-5418.0,-5664.0,-5896.0,-6094.0,-6302.0,-6512.0,-6685.0,-6782.0,-6768.0,-6550.0,-6199.0,-5779.0
Heavily indebted poor countries (HIPC),HPC,Net migration,-1651682.0,-802955.0,646391.0,-266275.0,-832272.0,-342704.0,-695753.0,-1558277.0,-609343.0,-937537.0,-1201553.0,-774337.0,-927382.0,-625153.0,-34392.0,-589781.0,370860.0,50447.0,-243350.0,-472979.0,60641.0,-537784.0
Croatia,HRV,Net migration,-50791.0,-17581.0,-12562.0,-8641.0,-5673.0,-3834.0,-2720.0,-2207.0,-2613.0,-3675.0,-5624.0,-8241.0,-10440.0,-11833.0,-12849.0,-13408.0,-13569.0,-13654.0,-13171.0,-12480.0,-11592.0,-10402.0
Haiti,HTI,Net migration,-27098.0,-26837.0,-26642.0,-26534.0,-26422.0,-26304.0,-26641.0,-27017.0,-27644.0,-27949.0,-28437.0,-29049.0,-29679.0,-30347.0,-31416.0,-32698.0,-33902.0,-34766.0,-35007.0,-34635.0,-33872.0,-32977.0
